wavelength_nm; Transmission
1738; 74.30246735
1737; 74.13529968
1736; 74.12644196
1735; 74.05869293
1734; 73.98651886
1733; 74.02173615
1732; 74.04721832
1731; 74.10308838
1730; 74.05633545
1729; 74.02657318
1728; 74.0749588
1727; 73.99623871
1726; 74.00514221
1725; 73.89340973
1724; 73.88449097
1723; 73.90440369
1722; 74.05092621
1721; 73.96887207
1720; 73.99538422
1719; 74.14399719
1718; 74.2168808
1717; 74.35758972
1716; 74.47721863
1715; 74.55419159
1714; 74.72441864
1713; 74.73275757
1712; 74.76238251
1711; 74.80522156
1710; 74.66080475
1709; 74.58699036
1708; 74.52051544
1707; 74.38466644
1706; 74.31535339
1705; 74.21949768
1704; 74.07588959
1703; 73.91648865
1702; 73.76618195
1701; 73.75836182
1700; 73.6707077
1699; 73.83429718
1698; 73.97418976
1697; 74.12770081
1696; 74.4513092
1695; 74.52417755
1694; 74.81681061
1693; 74.86977386
1692; 74.86721039
1691; 74.80883789
1690; 74.91268158
1689; 74.88467407
1688; 75.13697052
1687; 75.22714996
1686; 75.639328
1685; 76.02520752
1684; 76.29833984
1683; 76.66287994
1682; 76.97153473
1681; 77.15995026
1680; 77.30139923
1679; 77.26778412
1678; 77.10076904
1677; 76.99455261
1676; 76.68959808
1675; 76.45774078
1674; 76.14414978
1673; 75.82906342
1672; 75.68817902
1671; 75.45614624
1670; 75.45314026
1669; 75.59857178
1668; 75.82627106
1667; 76.23114777
1666; 76.72644043
1665; 77.26415253
1664; 77.88589478
1663; 78.50523376
1662; 79.17228699
1661; 79.58346558
1660; 79.95756531
1659; 80.36810303
1658; 80.69265747
1657; 81.02563477
1656; 81.30094147
1655; 81.49992371
1654; 81.63968658
1653; 81.74900818
1652; 81.92538452
1651; 81.96331024
1650; 81.93997955
1649; 81.98323059
1648; 82.14081573
1647; 82.28731537
1646; 82.3473053
1645; 82.55160522
1644; 82.6820755
1643; 82.88064575
1642; 82.97425842
1641; 83.16837311
1640; 83.25646973
1639; 83.18912506
1638; 83.18041229
1637; 83.3515625
1636; 83.37015533
1635; 83.34124756
1634; 83.37384796
1633; 83.45022583
1632; 83.47036743
1631; 83.5442276
1630; 83.60440826
1629; 83.66419983
1628; 83.65684509
1627; 83.7639389
1626; 83.64679718
1625; 83.84333801
1624; 83.76052856
1623; 83.82095337
1622; 83.77374268
1621; 83.68100739
1620; 83.8052597
1619; 83.79494476
1618; 83.68488312
1617; 83.76856232
1616; 83.86193848
1615; 83.87602234
1614; 83.84899139
1613; 83.88816071
1612; 83.92536926
1611; 83.95726013
1610; 84.00984192
1609; 84.00918579
1608; 83.97679138
1607; 84.02584076
1606; 83.92460632
1605; 83.9682312
1604; 83.98016357
1603; 83.96316528
1602; 84.0194397
1601; 83.97231293
1600; 83.97854614
1599; 84.00627136
1598; 83.99027252
1597; 83.96679688
1596; 84.00823212
1595; 83.95378876
1594; 83.93357086
1593; 83.91242218
1592; 84.03673553
1591; 83.93408966
1590; 84.0051651
1589; 83.97411346
1588; 83.98430634
1587; 83.98029327
1586; 83.86164856
1585; 83.91524506
1584; 83.91340637
1583; 83.83017731
1582; 83.86730957
1581; 83.84631348
1580; 83.78604889
1579; 83.80428314
1578; 83.93539429
1577; 83.86165619
1576; 83.83370209
1575; 83.84338379
1574; 83.85244751
1573; 83.82424927
1572; 83.82920837
1571; 83.94689178
1570; 83.78649139
1569; 83.73207092
1568; 83.67453003
1567; 83.71414185
1566; 83.63581085
1565; 83.69756317
1564; 83.52085114
1563; 83.53621674
1562; 83.54462433
1561; 83.32025146
1560; 83.36714172
1559; 83.30322266
1558; 83.29634094
1557; 83.14725494
1556; 83.09577942
1555; 82.87294769
1554; 82.94897461
1553; 82.69684601
1552; 82.45042419
1551; 82.32069397
1550; 82.23436737
1549; 82.13531494
1548; 82.04685974
1547; 81.8797226
1546; 81.76183319
1545; 81.7169342
1544; 81.63565826
1543; 81.5361557
1542; 81.50463104
1541; 81.4954834
1540; 81.32870483
1539; 81.38219452
1538; 81.31903076
1537; 81.42022705
1536; 81.28870392
1535; 81.37656403
1534; 81.3433075
1533; 81.3640976
1532; 81.48889923
